projekt_id;projekt_name;projekttyp;fahrzeugsegment;antriebsart;zielmarkt;entwicklungsstandort;geplante_stueckzahl;anzahl_varianten;aehnlichkeit_vorgaenger_pct;ressourcen_fte;teil_verbrenner_motor;teil_e_motor;teil_getriebe;teil_abgasanlage;teil_batteriesystem;teil_vorderachse;teil_hinterachse;teil_lenkung;teil_rohbau;teil_aussendesign;teil_bordnetz;teil_steuergeraete_ecu;teil_ladesystem;teil_cockpit_hmi;teil_sitzsystem;teil_kamera_radar;teil_adas_software;teil_kuehlkreislauf;anzahl_teile_neu;stueckzahl_kf_refined;dauer_start_kf_d;dauer_kf_df_d;dauer_df_tf_d;dauer_tf_p1_d;dauer_p1_p2_d;dauer_p2_vs_d;dauer_vs_sop_d
PRJ-011;Beta_200_FAC;Facelift;B;Verbrenner;China;China;12480;1;30;162;0;0;0;0;0;0;0;1;0;1;0;1;0;1;1;0;0;0;5;12380;124;139;159;35;125;182;141
PRJ-012;Alpha_100_DER;Derivat;SUV;Hybrid;Global;Deutschland;213774;6;42;122;0;0;0;0;1;0;0;0;0;0;1;0;0;1;1;0;1;0;5;168913;99;10;106;96;50;87;122
PRJ-013;Delta_X1_FAC;Facelift;C;Verbrenner;USA;China;144455;5;48;160;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;3;128500;122;141;130;18;113;173;151
PRJ-014;Gamma_X3_DER;Derivat;C;Elektro;Europa;China;49997;8;47;289;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;3;59650;79;117;95;40;145;80;137
PRJ-015;Epsilon_GT_FAC;Facelift;C;Verbrenner;Europa;Deutschland;194326;6;14;41;0;0;0;0;0;0;0;1;0;1;1;0;0;0;1;0;1;0;5;154023;142;157;178;103;205;96;248
PRJ-016;Alpha_X2_NEU;Neuanlauf;SUV;Verbrenner;China;USA;152315;5;22;299;1;0;1;0;0;1;1;1;1;1;1;1;0;1;1;1;0;1;13;168930;198;294;344;54;324;222;362
PRJ-017;Epsilon_X3_FAC;Facelift;C;Hybrid;Global;Deutschland;9712;5;9;146;1;1;0;0;0;0;1;0;0;1;0;0;1;1;0;1;0;0;7;12835;191;99;192;98;132;196;170
PRJ-018;Beta_400_NEU;Neuanlauf;A;Elektro;Europa;China;25667;1;57;236;0;1;1;0;1;1;1;1;1;1;0;1;1;1;0;1;1;1;14;23340;280;235;258;197;267;383;225
PRJ-019;Epsilon_100_DER;Derivat;B;Elektro;Europa;Deutschland;104400;1;35;139;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;3;137905;44;161;114;12;142;83;159
PRJ-020;Gamma_200_FAC;Facelift;Van;PHEV;China;Indien;168469;5;57;107;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;3;194779;136;121;167;48;123;154;164
PRJ-021;Epsilon_100_DER;Derivat;Van;Elektro;Europa;Deutschland;11107;1;59;236;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;3;9965;114;62;123;86;152;117;123
PRJ-022;Alpha_300_FAC;Facelift;SUV;Elektro;Global;Indien;104942;1;70;213;0;1;0;0;0;0;0;0;0;1;0;0;0;1;1;1;1;0;6;124257;213;140;211;175;207;118;295
PRJ-023;Beta_X1_DER;Derivat;C;Hybrid;USA;China;37445;2;55;60;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;2;28546;83;178;129;96;107;169;146
PRJ-024;Beta_400_DER;Derivat;Van;Hybrid;Europa;USA;166319;8;65;218;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;125141;45;60;146;107;60;128;69
PRJ-025;Gamma_X2_DER;Derivat;SUV;Elektro;Global;China;134635;4;59;231;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;3;125447;94;76;58;82;84;101;96
PRJ-026;Epsilon_X1_NEU;Neuanlauf;SUV;PHEV;Europa;China;25493;6;65;128;0;1;1;0;1;0;0;1;0;0;1;1;1;1;0;0;0;0;8;22156;326;148;330;203;147;336;317
PRJ-027;Gamma_X3_FAC;Facelift;C;Hybrid;Europa;Indien;155393;4;62;280;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;1;0;4;146290;140;111;188;14;102;199;112
PRJ-028;Alpha_X3_NEU;Neuanlauf;C;Verbrenner;Europa;Deutschland;233122;2;31;200;1;0;1;1;0;1;1;0;1;1;1;1;0;1;1;1;1;0;13;175526;193;291;197;150;372;146;330
PRJ-029;Epsilon_300_NEU;Neuanlauf;A;PHEV;Europa;USA;156888;3;24;113;0;1;1;0;1;1;1;1;0;1;0;1;1;1;0;0;1;1;12;174427;373;217;282;264;369;311;374
PRJ-030;Alpha_400_FAC;Facelift;Van;Verbrenner;Europa;Deutschland;8498;1;79;23;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;1;1;4;10853;104;230;112;139;238;260;129
PRJ-031;Beta_X2_FAC;Facelift;D;Elektro;Europa;USA;53561;7;34;209;0;0;0;0;0;0;0;0;0;1;1;1;0;1;1;1;0;1;7;47888;167;172;314;10;181;295;175
PRJ-032;Epsilon_X2_DER;Derivat;B;Verbrenner;Europa;Deutschland;52997;2;55;78;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;2;52118;95;69;69;81;85;146;68
PRJ-033;Alpha_300_NEU;Neuanlauf;C;Verbrenner;Europa;USA;75343;4;19;232;1;0;1;1;0;0;1;1;1;1;1;1;0;1;0;1;0;0;11;90493;300;137;393;156;329;355;235
PRJ-034;Delta_300_FAC;Facelift;D;Elektro;China;USA;35121;8;43;167;0;0;0;0;1;0;1;0;0;1;0;0;0;0;1;1;1;1;7;32371;110;169;158;87;189;167;112
PRJ-035;Gamma_X3_FAC;Facelift;B;Verbrenner;China;USA;121572;5;53;151;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;1;1;1;6;157880;169;145;91;98;303;138;132
PRJ-036;Beta_X2_NEU;Neuanlauf;SUV;Verbrenner;USA;USA;196620;4;63;66;1;0;1;1;0;1;1;1;1;1;1;1;0;1;0;1;0;0;12;165320;394;80;428;110;398;314;345
PRJ-037;Beta_200_NEU;Neuanlauf;SUV;PHEV;USA;China;139656;5;53;219;0;0;1;0;1;1;1;1;1;1;1;1;0;1;1;1;1;1;14;177018;343;283;388;112;354;313;431
PRJ-038;Beta_400_FAC;Facelift;SUV;Elektro;China;China;31591;7;36;66;0;0;1;0;0;0;0;0;0;1;1;1;0;0;1;0;0;0;5;39479;176;214;301;50;228;194;265
PRJ-039;Alpha_S_NEU;Neuanlauf;C;Verbrenner;Global;USA;5997;3;97;137;0;0;1;1;0;0;1;1;1;1;1;1;0;1;0;1;1;0;11;7999;225;285;229;134;393;144;360
PRJ-040;Gamma_100_FAC;Facelift;SUV;Hybrid;Global;USA;154120;6;51;255;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;2;192209;169;58;141;98;82;174;147
PRJ-041;Epsilon_GT_FAC;Facelift;D;Elektro;Europa;Indien;53016;7;81;278;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;3;58697;119;183;59;105;173;169;157
PRJ-042;Alpha_200_DER;Derivat;SUV;Elektro;Europa;Deutschland;95698;5;74;297;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;140620;138;35;96;42;169;98;128
PRJ-043;Beta_X1_FAC;Facelift;A;Hybrid;Europa;Deutschland;158201;4;56;289;1;0;0;0;0;0;1;1;0;1;1;0;1;1;1;0;0;0;8;187167;169;134;232;132;54;295;133
PRJ-044;Delta_400_NEU;Neuanlauf;C;Verbrenner;Europa;Deutschland;9830;2;89;176;1;0;1;1;0;1;0;1;1;1;1;1;0;1;1;1;0;1;13;13085;364;148;364;150;429;372;260
PRJ-045;Delta_100_DER;Derivat;A;Verbrenner;China;China;5625;2;12;76;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;3;6650;139;96;135;61;131;155;142
PRJ-046;Delta_S_DER;Derivat;D;Verbrenner;USA;Deutschland;5640;8;93;255;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;5503;28;74;45;27;67;91;22
PRJ-047;Gamma_X1_FAC;Facelift;C;Verbrenner;Europa;China;32055;5;85;245;0;0;0;0;0;1;0;1;0;1;1;1;0;1;0;0;0;0;6;35092;99;135;97;117;131;65;132
PRJ-048;Beta_S_NEU;Neuanlauf;B;PHEV;USA;China;13516;3;50;298;0;0;1;0;1;1;0;1;1;1;1;1;1;0;0;1;1;0;11;15214;243;239;265;182;270;151;378
PRJ-049;Alpha_300_FAC;Facelift;B;Verbrenner;China;Deutschland;124305;4;74;202;0;0;0;0;0;0;0;1;1;1;1;1;0;0;0;0;1;0;6;153246;154;150;146;28;170;106;208
PRJ-050;Alpha_GT_NEU;Neuanlauf;D;Hybrid;Europa;China;88071;5;52;59;1;1;1;0;1;1;1;1;0;1;1;1;1;0;1;1;1;1;15;119123;327;167;296;327;180;275;307
PRJ-051;Gamma_S_NEU;Neuanlauf;B;PHEV;Global;China;161058;5;27;161;0;1;1;0;1;1;1;1;1;1;0;1;1;1;0;1;1;1;14;215236;335;207;278;234;302;352;367
PRJ-052;Delta_X2_NEU;Neuanlauf;Van;PHEV;Europa;Deutschland;186125;6;80;145;0;1;1;0;1;1;1;0;1;1;0;0;1;1;1;1;0;0;11;145683;306;179;199;316;83;331;242
PRJ-053;Gamma_200_DER;Derivat;D;Verbrenner;Global;Deutschland;249605;3;24;256;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;190990;90;114;115;75;133;124;107
PRJ-054;Gamma_X3_FAC;Facelift;C;Elektro;Europa;Deutschland;64764;6;31;130;0;0;0;0;0;1;0;0;0;0;1;1;1;1;0;0;0;0;5;55048;215;104;246;80;218;277;178
PRJ-055;Epsilon_X1_FAC;Facelift;D;PHEV;Global;Deutschland;61275;4;52;112;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;3;58968;187;94;224;116;167;113;246
PRJ-056;Epsilon_S_DER;Derivat;A;PHEV;Global;Deutschland;173893;8;84;42;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;169945;137;57;95;91;54;138;101
PRJ-057;Gamma_400_FAC;Facelift;Van;Verbrenner;Global;Indien;46883;2;38;254;0;0;0;0;0;0;0;0;0;1;0;1;0;1;1;1;0;0;5;57795;136;150;169;163;113;218;127
PRJ-058;Alpha_300_FAC;Facelift;D;Verbrenner;Global;Deutschland;18816;2;49;232;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;3;16078;115;140;123;62;110;114;159
PRJ-059;Epsilon_200_NEU;Neuanlauf;SUV;Elektro;Global;Deutschland;157002;4;4;31;0;1;1;0;1;1;0;1;1;0;0;1;0;1;1;1;1;0;11;125480;256;200;318;331;236;334;272
PRJ-060;Beta_X3_NEU;Neuanlauf;A;Hybrid;China;China;194483;5;11;141;1;1;0;1;1;1;1;1;0;1;0;1;0;1;0;1;1;1;13;146736;398;148;387;259;248;386;345
PRJ-061;Beta_S_FAC;Facelift;D;Hybrid;Global;USA;239788;6;5;154;0;0;0;0;0;1;0;0;0;1;1;1;1;1;0;1;0;0;7;211063;114;104;208;74;142;188;151
PRJ-062;Delta_100_FAC;Facelift;D;Hybrid;Europa;Indien;178597;4;7;151;0;0;1;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;4;177212;135;113;267;110;78;199;186
PRJ-063;Beta_X3_FAC;Facelift;Van;PHEV;China;China;32999;8;87;278;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;3;28468;184;82;135;79;200;214;151
PRJ-064;Epsilon_S_DER;Derivat;D;Elektro;China;USA;184159;4;85;62;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;2;142826;78;127;79;115;92;139;128
PRJ-065;Epsilon_100_FAC;Facelift;D;Verbrenner;Global;Deutschland;150458;2;83;106;1;0;1;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;5;167399;161;53;179;120;178;79;206
PRJ-066;Delta_100_FAC;Facelift;C;Elektro;USA;Indien;177482;1;5;70;0;0;0;0;0;0;0;1;1;1;0;0;1;0;1;0;0;1;6;153274;184;91;188;147;135;200;175
PRJ-067;Alpha_X3_FAC;Facelift;C;Verbrenner;USA;China;124734;8;7;88;0;0;0;0;0;1;0;0;0;1;0;1;0;0;1;0;0;0;4;164940;188;208;181;103;243;247;185
PRJ-068;Gamma_X2_NEU;Neuanlauf;D;PHEV;China;Indien;218348;2;28;274;0;1;1;0;1;1;1;0;0;1;1;1;1;1;1;1;1;0;13;184274;253;205;306;148;253;195;287
PRJ-069;Epsilon_100_NEU;Neuanlauf;C;PHEV;Europa;Deutschland;106998;8;57;284;0;1;1;0;1;1;0;1;1;1;0;1;1;1;1;0;0;0;11;87635;237;240;330;137;250;251;294
PRJ-070;Gamma_GT_FAC;Facelift;A;Verbrenner;Europa;China;9698;3;33;32;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0;3;12840;154;94;238;105;199;184;194
PRJ-071;Gamma_X1_NEU;Neuanlauf;SUV;Verbrenner;USA;USA;102765;1;49;197;0;0;1;1;0;1;1;1;0;1;0;1;0;1;0;1;1;1;11;100714;247;141;342;44;318;331;185
PRJ-072;Gamma_S_FAC;Facelift;SUV;Hybrid;USA;Deutschland;31952;3;17;85;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;2;43888;177;166;199;97;200;202;211
PRJ-073;Alpha_GT_DER;Derivat;B;Elektro;Europa;USA;31582;5;73;74;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;1;0;4;25978;74;57;82;82;50;67;91
PRJ-074;Epsilon_GT_NEU;Neuanlauf;D;PHEV;USA;China;34631;4;31;102;0;0;1;0;1;0;0;0;1;1;1;1;1;1;0;1;1;1;11;31447;211;220;385;43;276;287;265
PRJ-075;Gamma_X1_NEU;Neuanlauf;B;Elektro;USA;Deutschland;149651;7;6;74;0;1;1;0;0;1;0;0;1;0;1;0;1;0;1;1;1;1;10;137883;325;303;295;204;258;333;382
PRJ-076;Beta_300_NEU;Neuanlauf;SUV;Elektro;USA;USA;125520;5;75;157;0;1;1;0;1;1;1;1;1;1;0;1;1;0;1;1;1;0;13;104019;328;231;265;243;265;330;279
PRJ-077;Epsilon_X1_NEU;Neuanlauf;C;Hybrid;USA;China;83664;4;91;299;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;17;120778;266;188;349;87;357;232;292
PRJ-078;Delta_100_FAC;Facelift;SUV;Elektro;China;Deutschland;130103;6;1;184;0;0;0;0;0;0;0;0;0;1;0;1;0;1;1;0;1;0;5;140886;215;143;171;80;200;184;189
PRJ-079;Delta_X2_FAC;Facelift;SUV;Verbrenner;Europa;USA;106149;8;44;223;0;0;0;0;0;0;0;0;1;1;1;0;0;0;1;1;0;0;5;107466;193;152;178;120;211;241;141
PRJ-080;Epsilon_200_DER;Derivat;SUV;Verbrenner;Global;Deutschland;92753;4;83;158;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;3;115861;105;53;100;35;110;124;111
